9554,9314,3586, -1158, -598, 395
 9838,9114,3478, -450, -439, 106
 9870,9166,3568, -247, -382, -350
 10034,9216,3398, -231, -322, -348
 9830,9216,3438, -361, -484, 30
 10050,9322,3288, -213, -330, -179
 9424,9520,3230, -664, -956, 60
 9958,9308,3328, -323, 408,7784
 436,7336,8592, 1333, 618, -388
 480,7326,8640, 271, 195, -658
 252,7602,8756, -451, -390, -439
 0,7230,9100, -237, -220, -239
 492,7862,8890, -1175, -1022, 392
 -396,8142,8846, 336, -467, 87
 362,7640,9134, -3602, -3541, -550
 268,7262,8792, -2824, -3114, -1028
 534,7582,9126, -2876, -2765, -706
 1122,7826,9776, 838, 263, -128
 632,7634,9170, 1403, 926, 83
 1072,7936,9536, 430, 10, -372
 626,8104,9070, -540, 179, -324
 644,7962,9612, -192, 182, 382
 454,7460,8998, 534, 1046, 461
 168,7130,8716, -1518, -20, 287
 202,7218,8936, -1579, 84, 332
 148,7166,8772, -1528, -203, 406
 -162,7014,8676, 113, 129, 92
 68,5896,8058, 1116, 753, -541
 -890,7150,8256, 582, -524, -538
 -266,7682,8922, 917, -345, -933
 -590,6580,7996, 2179, 743, -2145
 -276,6998,8518, 359, -591, -1670
 -336,7256,8592, 263, -812, -818
 -138,7444,8528, 37, -543, -29
 278,8376,9492, -1259, -670, -115
 1000,8154,9434, -788, -2412, -682
 882,7858,9612, -659, -742, -235
 514,7794,9168, 1038, 1314, 546
 -58,7308,8924, -991, -1180, 1025
 574,6944,8318, -1461, -1862, 453
 764,6958,8600, -753, -1201, 143
 920,7652,9852, 793, 222, -159
 618,7648,9526, 956, 510, -178
 162,7464,9310, 663, 336, -512
 -222,7180,8586, -138, -32, -250
 -112,7010,8408, -46, -162, -387
 40,6756,8272, 108, -99, -466
 734,7010,9030, 508, 445, -768
 358,7310,8862, -455, 136, -429
 604,7618,9324, -1068, -10, 110
 436,7804,9408, -761, 253, 1341
 202,7956,9212, -319, 417, 1033
 40,7556,8936, 251, 791, 630
 -30,7354,8654, -1200, 60, 1032
 -140,7330,8682, -3898, -916, 1158
 244,7430,10030, -3897, -702, 1006
 -488,6616,8648, -2412, -36, 2016
 -648,6484,8760, -2820, -99, 1275
 -436,6972,9292, -2980, -1020, 738
 -824,6340,8398, -1046, -169, 665
 -622,6430,9048, -991, -258, 574
 -492,6358,8938, -1097, -562, 838
 -470,6040,8784, -2563, -1651, 391
 -108,6250,9486, -2833, -1809, 318
 12,6748,9886, -1682, -1291, 437
 -336,6032,9088, -1452, -493, 1467
 -292,5808,8962, -1441, -394, 1486
 -78,5700,9076, -1858, -402, 1486
 -154,5606,9052, -3795, -1715, 1384
 46,5702,9668, -3472, -1697, 1129
 8,5262,9274, -2852, -1633, 1366
 0,4968,9254, -1654, 142, 1382
 42,5340,9684, -1184, 526, 1771
 -118,5214,9638, -530, 1044, 1951
 -234,5628,10114, 139, 1793, 1706
 -442,5440,9856, -710, 600, 2171
 -436,5366,9986, -114, 730, 1569
 -324,4610,9460, -46, 2898, 3338
 -998,3826,7838, -2625, 1496, 2843
 -1456,3786,8098, -5612, -474, 2700
 -1598,4036,9212, -6000, -1776, 1017
 -1598,3552,9494, -3108, -394, -234
 -2084,3176,8998, -1081, 1336, -202
 -2188,3410,9592, 1611, 1791, 1404
 -2520,3638,9156, 2255, 1957, 1742
 -3048,2064,6646, 1862, 2324, 1561
 -1882,2836,8738, -2812, -1096, 839
 -2568,2354,7620, -3325, -1322, 807
 -2490,2488,8188, -2874, -789, 398
 -2606,2350,8634, -3791, -737, 686
 -2862,2014,8654, -3763, 360, 1035
 -3668,1704,8094, -3725, 507, 2917
 -3740,1250,8204, -4539, -1221, 1344
 -3950,1370,8038, -3362, -1184, 1186
 -3890,714,7788, -2253, -1650, 943
 -3800,-194,6982, -200, -1003, -275
 -3854,1302,7356, 467, -1269, -1322
 -3100,1012,8288, 11, -908, -937
 -3382,352,7440, -2048, -1677, -600
 -3318,658,7832, -3154, -2024, -439
 -2972,602,8002, -3527, -1969, -274
 -3604,84,7196, -2585, -1941, -93
 -3334,16,7280, -1877, -1467, -48
 -3430,-550,7598, -2210, -1652, 1308
 -2946,-384,7952, -33, 87, 1152
 -3054,-170,8076, 370, 209, 649
 -2816,72,8274, 864, 455, 506
 -2936,-108,7986, 478, 715, 1109
 -3372,264,7934, -339, 156, 1130
 -3212,522,8332, -494, -5, 910
 -3674,26,7672, 153, 729, 550
 -3744,188,7770, -1123, 455, 975
 -3510,360,8296, -1534, -366, 479
 -3714,-134,7658, -1167, -245, -27
 -3586,-204,7766, -1537, -323, -256
 -3546,-444,7620, -1765, -486, -196
 -3638,-358,7584, -2511, -576, -292
 -3734,-298,7834, -2372, -546, -528
 -3688,-438,7720, -2408, -401, -1063
 -4514,-1452,6554, -2127, -379, -304
 -4572,-1554,6580, -1892, -590, -766
 -4804,-1944,6132, -1575, -621, -1049
 -4506,-2634,5834, -2140, -859, -1216
 -4182,-2502,6842, -2879, -1343, -1121
 -4224,-2988,6228, -2989, -1707, -692
 -4394,-2694,6628, -812, -719, -501
 -4672,-2752,6386, -9, -475, -34
 -4548,-2600,6510, 388, -87, -24
 -4184,-2262,6922, 521, -6, -286
 -4112,-2370,6908, 1037, 209, -395
 -4246,-2920,6312, 876, 18, -413
 -4206,-2382,6662, -399, -638, -607
 -4154,-2844,6280, 188, -282, -580
 -4328,-2876,5930, -487, -415, -832
 -3996,-2106,6980, 435, -55, -846
 -4206,-2488,6404, 632, -243, -890
 -4102,-2676,6456, 1448, -13, -1212
 -4184,-2800,6474, 1511, 211, -848
 -4446,-3042,5846, 135, -353, -340
 -4210,-2466,6400, 151, -244, 105
 -4420,-2384,6096, 1641, 519, 41
 -4420,-1940,6456, 2116, 431, 190
 -4444,-2354,6130, 2568, 392, 185
 -3804,-1080,7354, 1654, -357, -329
 -3798,-858,7158, 1227, -919, -566
 -4070,-424,7168, 2105, -993, -1091
 -3576,-786,7810, 3437, -638, -2097
 -3384,-880,7608, 3355, -99, -1832
 -3050,-994,7426, 1485, -233, -654
 -3226,-82,7206, -988, -1357, -14
 -2766,402,8104, -345, -921, -606
 -2860,114,7690, 620, -467, -380
 -2754,820,8156, 2562, -294, -847
 -2794,476,8080, 3127, -305, -1481
 -2408,708,8272, 2966, -133, -1679
 -2366,1390,8498, 3424, -359, -1100
 -2412,1646,8212, 4159, -210, -1645
 -2280,1920,8472, 4642, -199, -2270
 -1846,2422,8466, 4715, -37, -2492
 -1316,3058,8760, 4545, -138, -2594
 -1152,3430,8906, 3553, -948, -2364
 -918,3794,8526, 2204, -953, -2657
 -396,6434,10822, 4633, 242, -543
 6366,976,8670, 6173, 3755, 142
 410,5946,9964, 5279, 942, -516
 940,6934,10116, 3294, -467, -345
 574,6856,9616, 4169, -404, -798
 1422,7136,9332, 3282, 101, -1963
 1306,7154,9006, 2977, -47, -2152
 1230,7940,9162, 3147, 464, -1886
 622,7990,9478, -2179, -1760, -1352
 780,7716,9484, -2895, -2573, -1749
 1536,7586,9942, -2631, -1509, -485
 1984,7664,10048, -60, -356, -440
 1416,7752,9448, 354, -344, -45
 976,7704,9432, 1541, -213, -821
 1174,7172,8990, 2390, 356, -1169
 1068,7172,8948, 1708, 168, -677
 1752,7926,9428, 461, -323, -214
 1580,7882,9508, 720, -317, 220
 1436,7672,9052, 885, -142, 53
 1216,7746,9026, 892, -58, -236
 1330,7524,8548, -1130, -1115, -490
 1250,7436,8292, -493, -922, -1175
 1438,7578,8714, -966, -1083, -1607
 1176,8032,9250, -879, -1562, -1897
 1438,8356,9708, 505, -1023, -2127
 1236,8498,9750, 1726, -221, -2210
 1282,8712,9586, 1570, 350, -1535
 1330,8770,9822, 677, -78, -1254
 1334,9004,9716, 1157, 277, -1118
 1258,9038,9928, 639, 176, -1087
 1258,8792,9536, 249, -154, -1046
 1318,8790,9652, -543, -1020, -1023
 1148,8742,9020, 184, -593, -932
 1096,8864,9306, -4, -831, -1027
 1186,8870,9408, 532, -430, -970
 918,8134,8410, 235, -15, -404
 1366,8634,8928, -253, -451, -614
 1366,8670,9140, -205, -522, -579
 1004,8222,8566, 38, -281, -505
 1294,8772,9374, -246, -248, -509
 1380,8862,9414, -230, -398, -195
 1202,9106,9672, 706, 18, -266
 1210,8934,9438, 537, -160, -309
 1150,8766,9190, 349, -206, -273
 1370,9256,9082, 2512, 1753, -61
 1666,9392,8778, 3448, 3190, 701
 1776,9238,9136, 1091, 1692, 792
 3028,8568,10294, -1445, -2850, -1958
 6,10360,9826, -6947, -3392, 1215
 1878,12062,12452, -4188, -4020, -658
 558,7898,8214, -1706, -585, 770
 764,7360,8000, -3736, -802, 2242
 1180,8406,9684, -5492, -1945, 1433
 910,7114,9000, -5816, -3567, 501
 1172,6886,9564, -3590, -2799, -197
 -558,6578,9246, -3531, -2985, -2991
 242,7178,9498, -4459, -5334, -5067
 2480,6986,9416, -4093, -4456, -2873
 1204,5752,8836, -3587, -1984, -847
 928,5744,10352, -3497, -1082, 2811
 2400,5724,9682, -2604, -640, 3399
 1312,5516,10154, -1834, 455, 2574
 976,5072,10596, -610, 4306, 5830
 454,5120,9428, -2212, 3605, 8461
 444,5424,10066, -3042, 4319, 9716
 84,4410,8370, -2813, 3312, 10720
 482,4068,9250, -799, 2694, 6674
 -168,4992,11058, 1381, 4209, 4602
 -1402,4240,7756, -163, 3837, 4449
 -980,3790,8962, 861, 4112, 3116
 -1586,3690,9044, -1195, 2857, 4433
 -2104,2952,8228, -1853, 1579, 3765
 -972,3852,9706, -1428, -639, 1178
 -2280,1384,6956, -4173, -3458, -2523
 -1112,2966,8950, -2076, -4132, -3885
 -1096,2982,9088, -2052, -2390, -4500
 -1670,3014,8618, -1670, -1445, -1612
 -1450,2822,9172, -1172, -393, -498
 -1504,2936,9580, -552, -214, 259
 -1120,2840,9462, -125, 382, 605
 -1282,2904,9504, -1359, -578, 444
 -1300,2924,9624, -694, -58, -70
 -1798,3146,9356, -7, 897, 1181
 -1708,2684,9310, -548, 389, 759
 -1708,2598,9294, -343, 865, 964
 -1832,2744,9438, -654, 1110, 1423
 -2282,2132,8738, -1824, -28, 401
 -2452,2304,9176, -2172, -258, -349
 -2384,1698,8506, -2885, -448, -693
 -3142,1602,8334, -1678, 1064, 571
 -2986,1366,8194, -1797, 608, 707
 -3334,1114,7596, -748, 842, 666
 -3308,1000,7940, 1012, 1150, -31
 -3526,638,7408, 102, 557, -167
 -3674,832,7216, -475, 139, -370
 -3642,1264,7752, -592, 44, -392
 -3712,672,7342, -157, 637, -540
 -3716,1000,7338, 308, 1036, -212
 -3894,100,6862, -2044, -895, -730
